Name,Units,Short,Long
Gen1E,kWh,Gen1 Energy,
Gen1ExpE,kWh,Gen1 Export Energy,
Gen1ExpP,kW,Gen1 Export Active Power,
Gen1ExpQh,kvarh,Gen1 Export Reactive Power Hours,
Gen1ExpS,kVA,Gen1 Export Apparent Power,
Gen1ExpSh,kVAh,Gen1 Export Apparent Power Hours,
Gen1I2,A,Gen1 Phase 2 Current,
Gen1I3,A,Gen1 Phase 3 Current,
Gen1ImpE,kWh,Gen1 Import Energy,
Gen1ImpP,kW,Gen1 Import Active Power,
Gen1ImpQh,kvarh,Gen1 Import Reactive Power Hours,
Gen1ImpS,kVA,Gen1 Import Apparent Power,
Gen1ImpSh,kVAh,Gen1 Import Apparent Power Hours,
Gen1P,kW,Gen1 Active Power,
Gen1Pf,pf,Gen1 Power Factor,
Gen1Qh,kvarh,Gen1 Reactive Power Hours,
Gen1S,kVA,Gen1 Apparent Power,
Gen1Sh,kVAh,Gen1 Apparent Power Hours,
Gen1U,V,Gen1 Average Phase to Phase Voltage,
Gen1U12,V,Gen1 Phase 1 to 2 Voltage,
Gen1U1n,V,Gen1 Phase 1 to N Voltage,
Gen1U23,V,Gen1 Phase 2 to 3 Voltage,
Gen1U2n,V,Gen1 Phase 2 to N Voltage,
Gen1U31,V,Gen1 Phase 3 to 1 Voltage,
Gen1U3n,V,Gen1 Phase 3 to N Voltage,
Gen1Un,V,Gen1 Average Phase to Neutral Voltage,
Gen2E,kWh,Gen2 Energy,
Gen2ExpE,kWh,Gen2 Export Energy,
Gen2ExpP,kW,Gen2 Export Active Power,
Gen2ExpQh,kvarh,Gen2 Export Reactive Power Hours,
Gen2ExpS,kVA,Gen2 Export Apparent Power,
Gen2ExpSh,kVAh,Gen2 Export Apparent Power Hours,
Gen2I2,A,Gen2 Phase 2 Current,
Gen2I3,A,Gen2 Phase 3 Current,
Gen2ImpE,kWh,Gen2 Import Energy,
Gen2ImpP,kW,Gen2 Import Active Power,
Gen2ImpQh,kvarh,Gen2 Import Reactive Power Hours,
Gen2ImpS,kVA,Gen2 Import Apparent Power,
Gen2ImpSh,kVAh,Gen2 Import Apparent Power Hours,
Gen2P,kW,Gen2 Active Power,
Gen2Pf,pf,Gen2 Power Factor,
Gen2Qh,kvarh,Gen2 Reactive Power Hours,
Gen2S,kVA,Gen2 Apparent Power,
Gen2Sh,kVAh,Gen2 Apparent Power Hours,
Gen2U,V,Gen2 Average Phase to Phase Voltage,
Gen2U12,V,Gen2 Phase 1 to 2 Voltage,
Gen2U1n,V,Gen2 Phase 1 to N Voltage,
Gen2U23,V,Gen2 Phase 2 to 3 Voltage,
Gen2U2n,V,Gen2 Phase 2 to N Voltage,
Gen2U31,V,Gen2 Phase 3 to 1 Voltage,
Gen2U3n,V,Gen2 Phase 3 to N Voltage,
Gen2Un,V,Gen2 Average Phase to Neutral Voltage,
Gen3E,kWh,Gen3 Energy,
Gen3ExpE,kWh,Gen3 Export Energy,
Gen3ExpP,kW,Gen3 Export Active Power,
Gen3ExpQh,kvarh,Gen3 Export Reactive Power Hours,
Gen3ExpS,kVA,Gen3 Export Apparent Power,
Gen3ExpSh,kVAh,Gen3 Export Apparent Power Hours,
Gen3I2,A,Gen3 Phase 2 Current,
Gen3I3,A,Gen3 Phase 3 Current,
Gen3ImpE,kWh,Gen3 Import Energy,
Gen3ImpP,kW,Gen3 Import Active Power,
Gen3ImpQh,kvarh,Gen3 Import Reactive Power Hours,
Gen3ImpS,kVA,Gen3 Import Apparent Power,
Gen3ImpSh,kVAh,Gen3 Import Apparent Power Hours,
Gen3P,kW,Gen3 Active Power,
Gen3Pf,pf,Gen3 Power Factor,
Gen3Qh,kvarh,Gen3 Reactive Power Hours,
Gen3S,kVA,Gen3 Apparent Power,
Gen3Sh,kVAh,Gen3 Apparent Power Hours,
Gen3U,V,Gen3 Average Phase to Phase Voltage,
Gen3U12,V,Gen3 Phase 1 to 2 Voltage,
Gen3U1n,V,Gen3 Phase 1 to N Voltage,
Gen3U23,V,Gen3 Phase 2 to 3 Voltage,
Gen3U2n,V,Gen3 Phase 2 to N Voltage,
Gen3U31,V,Gen3 Phase 3 to 1 Voltage,
Gen3U3n,V,Gen3 Phase 3 to N Voltage,
Gen3Un,V,Gen3 Average Phase to Neutral Voltage,
Gen4E,kWh,Gen4 Energy,
Gen4ExpE,kWh,Gen4 Export Energy,
Gen4ExpP,kW,Gen4 Export Active Power,
Gen4ExpQh,kvarh,Gen4 Export Reactive Power Hours,
Gen4ExpS,kVA,Gen4 Export Apparent Power,
Gen4ExpSh,kVAh,Gen4 Export Apparent Power Hours,
Gen4I2,A,Gen4 Phase 2 Current,
Gen4I3,A,Gen4 Phase 3 Current,
Gen4ImpE,kWh,Gen4 Import Energy,
Gen4ImpP,kW,Gen4 Import Active Power,
Gen4ImpQh,kvarh,Gen4 Import Reactive Power Hours,
Gen4ImpS,kVA,Gen4 Import Apparent Power,
Gen4ImpSh,kVAh,Gen4 Import Apparent Power Hours,
Gen4P,kW,Gen4 Active Power,
Gen4Pf,pf,Gen4 Power Factor,
Gen4Qh,kvarh,Gen4 Reactive Power Hours,
Gen4S,kVA,Gen4 Apparent Power,
Gen4Sh,kVAh,Gen4 Apparent Power Hours,
Gen4U,V,Gen4 Average Phase to Phase Voltage,
Gen4U12,V,Gen4 Phase 1 to 2 Voltage,
Gen4U1n,V,Gen4 Phase 1 to N Voltage,
Gen4U23,V,Gen4 Phase 2 to 3 Voltage,
Gen4U2n,V,Gen4 Phase 2 to N Voltage,
Gen4U31,V,Gen4 Phase 3 to 1 Voltage,
Gen4U3n,V,Gen4 Phase 3 to N Voltage,
Gen4Un,V,Gen4 Average Phase to Neutral Voltage,
GenE,kWh,Generator Energy,
GenExpE,kWh,Generator Export Energy,
GenExpP,kW,Generator Export Active Power,
GenExpQh,kvarh,Generator Export Reactive Power Hours,
GenExpS,kVA,Generator Export Apparent Power,
GenExpSh,kVAh,Generator Export Apparent Power Hours,
GenI2,A,Generator Phase 2 Current,
GenI3,A,Generator Phase 3 Current,
GenImpE,kWh,Generator Import Energy,
GenImpP,kW,Generator Import Active Power,
GenImpQh,kvarh,Generator Import Reactive Power Hours,
GenImpS,kVA,Generator Import Apparent Power,
GenImpSh,kVAh,Generator Import Apparent Power Hours,
GenP,kW,Generator Active Power,
GenPf,pf,Generator Power Factor,
GenQh,kvarh,Generator Reactive Power Hours,
GenS,kVA,Generator Apparent Power,
GenSh,kVAh,Generator Apparent Power Hours,
GenU,V,Generator Average Phase to Phase Voltage,
GenU12,V,Generator Phase 1 to 2 Voltage,
GenU1n,V,Generator Phase 1 to N Voltage,
GenU23,V,Generator Phase 2 to 3 Voltage,
GenU2n,V,Generator Phase 2 to N Voltage,
GenU31,V,Generator Phase 3 to 1 Voltage,
GenU3n,V,Generator Phase 3 to N Voltage,
GenUn,V,Generator Average Phase to Neutral Voltage,
Load1E,kWh,Load1 Energy,
Load1ExpE,kWh,Load1 Export Energy,
Load1ExpP,kW,Load1 Export Active Power,
Load1ExpQh,kvarh,Load1 Export Reactive Power Hours,
Load1ExpS,kVA,Load1 Export Apparent Power,
